slot,max_bid,max_bid_relay,mev_reward,mev_reward_relay,proposer_index,is_rocketpool,node_address,in_smoothing_pool,correct_fee_recipient,priority_fees,avg_fee,eth_collat_ratio,is_vanilla,reth_portion,proxy_max_bid
5000456,,,,,400489.0,True,0x5eBAD7af6c03f00D5CECA00a80AFD1926fD29e9c,False,True,0.06590933683397943,0.15,2.0,True,0.425,0.28408719332833937
5000583,,,,,266692.0,True,0x313674b062Fd777a947440CC53d2Cd04825DC920,True,True,0.02051072028478937,0.11116070062840253,4.0,True,0.666629474528698,0.10839085333706149
5001244,,,,,296836.0,True,0x7aE831e8EF607eaD2634Ec1E9bCb95bB1f6Ff411,False,True,0.05163239618675144,0.18474822918184175,2.0,True,0.4076258854090791,0.07963530282413163
5001952,,,,,417809.0,True,0x08f5DB7653072c185023cBbaa277469Ac079B457,False,True,0.02155332091479902,0.15,2.0,True,0.425,0.07605510885365069
5002018,,,,,316310.0,True,0xDb122799F0b6b3d3aD388eBd80dF259b8273C1Ec,False,True,0.08352995527027787,0.15,2.0,True,0.425,0.055529066919083436
5002307,,,,,277388.0,True,0x5e624FAEDc7AA381b574c3C2fF1731677Dd2ee1d,True,True,0.002789408212025427,0.15,2.4,True,0.49583333333333324,0.06959470618386958
5002507,,,,,276296.0,True,0x01B984Ec0d745Ebd1001768E8f791B7C60df82DF,False,True,0.002259941294333212,0.15,2.0,True,0.425,0.07714954753198011
5003732,,,,,435227.0,True,0xCde1fe0664Cad959106c6e562bf3F3625cbd5b44,True,True,0.04509797647877255,0.15,2.0,True,0.425,0.11742581589477136
5003739,,,,,440364.0,True,0xE0878Ff2a29a0460C6d66C35F4215E7e5aD49388,True,True,0.06267345250021036,0.15,4.0,True,0.6375,0.05771124498740722
5005575,,,,,268398.0,True,0x9Fe9FfbfD57ab78D4d01973482258bfC4BB70bE3,True,True,0.00984944732438912,0.1601122328793886,2.0,True,0.4199438835603057,0.05606446871903037
5006012,,,,,393432.0,True,0x2B6272Da4872C8727C3577dEB0e77bADf6a61636,False,True,0.006092230508340666,0.15,2.0,True,0.425,0.07193601407807544
5006025,,,,,291063.0,True,0x1405499CC97b190bFefada75B68bdc7bbddde298,True,True,0.06930391147050045,0.15,2.0,True,0.425,0.0934816035207251
5006093,,,,,413593.0,True,0x17c2d539672708003daCE910453bd51E796553b4,False,True,0.00343692776120065,0.15,2.0,True,0.425,0.06033791557603032
5006583,,,,,268342.0,True,0x6CE82a2FEB8baB345D14f7a955d2daaE4fF9d83F,True,True,0.004406399627940918,0.19421877595460377,2.0,True,0.4028906120226981,0.21829811196546461
5006986,,,,,373104.0,True,0x16f5efdfD8baB94599D21b779e1a83992e876cd4,False,True,0.003467894714735424,0.15,2.0,True,0.425,0.08387724489496036
5007221,,,,,434797.0,True,0xF55Cd5C506783621806B0F70bbdbD0573E525909,True,True,0.014608749284133127,0.15,2.0,True,0.425,0.30667496169012554
5007268,,,,,265939.0,True,0x379ba0676c80e90E69Ed88fB917754Cd40c8bd61,False,True,0.006146967281942204,0.15,2.0,True,0.425,0.10980274790997346
5009746,,,,,439927.0,True,0x65650290475eC4A6924E3C3145215492C25F74E4,False,True,0.03596990580924525,0.15,2.0,True,0.425,0.04721654808654365
5010075,,,,,437621.0,True,0x8dEA24025cF3080FE46af8511c1Be871302B2d63,False,True,0.03529860605437245,0.15,2.0,True,0.425,0.1159775865441196
5010629,,,,,436172.0,True,0xF3a88FAE6Ffe731015FB53fB2fa193c9177f87E3,False,True,0.09943129963666592,0.15,2.0,True,0.425,0.050623060780594316
5010729,,,,,262580.0,True,0x700b658c2BC81EAa68d91aa0a026c5a1F8B73Dc6,False,True,0.05891936828854144,0.15,2.0,True,0.425,0.05013613865500328
5011865,,,,,299528.0,True,0x1De3626d6fc2d7c14AF8020B5E8A0c3371D9195D,False,False,0.0370047001251942,0.15,2.0,True,0.425,0.13356694095386323
5012003,,,,,275233.0,True,0xB984b9492b80325e09E7ddAd1b52Ac49d5808e9E,False,True,0.02189443968812761,0.15,2.0,True,0.425,0.06808868300342392
5012936,,,,,260745.0,True,0x3d91Af11eaA234daF1FF1059C50e5d07d0465505,False,True,0.008129177411509172,0.0888843681729108,2.0,True,0.4555578159135446,0.07799359293471288
5014350,,,,,437631.0,True,0x8dEA24025cF3080FE46af8511c1Be871302B2d63,False,True,0.06666440926632772,0.15,2.0,True,0.425,0.0798602940884921
5014581,,,,,293232.0,True,0x3809e3E5b683949f9f8a87EA1525e415A64e78D7,False,True,0.037857851881246705,0.15,2.0,True,0.425,0.06785100059491032
5015133,,,,,264526.0,True,0x2473236056A6faE808C6c31B7E9EE097E003A1FB,False,True,0.050761153987277506,0.15,2.0,True,0.425,0.047633924856633036
5015164,,,,,395048.0,True,0x72AF33db968A476f7f51Ba0F28c1868A8F2b6E4a,True,True,0.002909882691321953,0.15,2.0,True,0.425,0.07100488710936667
5015440,,,,,400489.0,True,0x5eBAD7af6c03f00D5CECA00a80AFD1926fD29e9c,False,True,0.024334380792754365,0.15,2.0,True,0.425,0.04576226728081733
5016092,,,,,283189.0,True,0xF35232a826eE477e307b9998456b911Bad9509c1,True,True,0.010766147889426873,0.15,2.0,True,0.425,0.044093113416336885
5016234,,,,,315343.0,True,0xeF5fadC9904E27c7f8679965C3eF537096e5FF53,True,True,0.011184955241059835,0.15,2.0,True,0.425,0.056330158540568144
5016787,,,,,442320.0,True,0xB366dd28bE7449450b8443a384227b87A8DdB0da,False,True,0.010209897721032006,0.15,2.0,True,0.425,0.07104842541700494
5018168,,,,,260555.0,True,0x5Bd353C49fe776b9Bd0661c1D86ADe344d88D416,True,True,0.026615397626897144,0.14434353539158057,4.0,True,0.6417423484563146,0.05202680191333531
5018184,,,,,278456.0,True,0xC7176561400a05A4480C696e7718eEF42C5F4e06,True,True,0.02805973865801338,0.15,2.0,True,0.425,0.043425380766916044
5018609,,,,,292379.0,True,0x1De3626d6fc2d7c14AF8020B5E8A0c3371D9195D,False,False,0.05320281130084515,0.15,4.0,True,0.6375,0.25175528396838104
5018661,,,,,260924.0,True,0xf94860Ea703aeBc00de50F3433Dd2F9306c72CA3,True,True,0.045090000495601135,0.15,4.0,True,0.6375,0.07255621012102767
5018784,,,,,273851.0,True,0x9Fe9FfbfD57ab78D4d01973482258bfC4BB70bE3,True,True,0.00691842000824186,0.1601122328793886,2.6666666666666665,True,0.5249298544503821,0.07403113192288209
5019346,,,,,269262.0,True,0x7f52ADd1899886153A53B2b7A84A49417aCD4BEC,False,True,0.046760835313588094,0.15,2.0,True,0.425,0.12610811940500666
5019495,,,,,303018.0,True,0x1De3626d6fc2d7c14AF8020B5E8A0c3371D9195D,False,False,0.03997722178418899,0.15,4.0,True,0.6375,0.3069842626105562
5019984,,,,,432104.0,True,0x53829Cc7E582F5D9945d1bfC0e2Ed8B271202592,True,True,0.022436931144153193,0.15,2.285714285714286,True,0.47812499999999997,0.11379400876482336
5020257,,,,,263519.0,True,0x751683968FD078341C48B90bC657d6bAbc2339F7,True,True,0.020106293153984392,0.15789473684210525,2.0,True,0.42105263157894735,0.11267785820235496
5022898,,,,,274585.0,True,0x7f52ADd1899886153A53B2b7A84A49417aCD4BEC,False,True,0.02767636684313724,0.15,2.0,True,0.425,0.11722189732514772
5023437,,,,,292652.0,True,0xc2E11bA3A515240Fc4D0f4a86B8BB79dF26f9F8c,False,True,0.015665579653125348,0.18263953109352302,2.0,True,0.4086802344532385,0.1536075090794654
5023489,,,,,314859.0,True,0x4F88B7c5d88947155A31E18c3D57483Af9f2eA6F,False,True,0.0008066372623024,0.15,2.0,True,0.425,0.05034193141911385
5023749,,,,,415220.0,True,0xA9c8550BffD4bD11c09da4a807dCC3B87C71B481,True,True,0.02192801972951053,0.15,2.0,True,0.425,0.03569077799608108
5025235,,,,,405535.0,True,0x9ab595091a172BB176E361874704AF2e9a35E966,False,True,0.027419248328533433,0.15,2.0,True,0.425,0.058533012254819064
5025818,,,,,263391.0,True,0x63a7405cfa7103Df9D13f5E3243a316c8cB14c84,False,True,0.02924365242751508,0.1485190318140883,2.0,True,0.42574048409295584,0.08056633666752638
5026317,,,,,261271.0,True,0x29a954e4B56151C5335500fefE570F81E817B38A,False,True,0.004435723007355878,0.15,2.0,True,0.425,0.04849973250348431
5027308,,,,,442544.0,True,0x53829Cc7E582F5D9945d1bfC0e2Ed8B271202592,True,True,0.019556742201324816,0.15,2.0,True,0.425,0.05538783248315616
5027919,,,,,292705.0,True,0x1De3626d6fc2d7c14AF8020B5E8A0c3371D9195D,False,False,0.04603655294454525,0.15,2.0,True,0.425,0.10235257098801202
5028183,,,,,401892.0,True,0xc992a9F75Fc162B91a481EEf9aeC47465218C91A,True,True,0.007411914462424503,0.15,2.0,True,0.425,0.07143918784484735
5029064,,,,,393437.0,True,0x2B6272Da4872C8727C3577dEB0e77bADf6a61636,False,True,0.02562216739868474,0.15,2.0,True,0.425,0.09317539033704525
5030565,,,,,260597.0,True,0x72eD84c5232a8e0bF88aFF101dd9C3fE30fB1AF1,False,True,0.05895889460763836,0.15,2.0,True,0.425,0.07488179595941387
5031074,,,,,263696.0,True,0x78a47e8041f0F34b52dDfD55ed0d4Fc8c0435995,True,False,0.05781193908700308,0.15,2.0,True,0.425,0.04439495572354475
5031076,,,,,267845.0,True,0x653F988d71e67c7a035098D75449c0A5278F62A8,True,False,0.03674592610728173,0.15,2.0,True,0.425,0.04439495572354475
5032088,,,,,294933.0,True,0x7B94aEBCFb9A0cA4A461cEaca7804BaA3F925cbe,False,True,0.002707974949477528,0.15,2.0,True,0.425,0.06797894559973985
5032631,,,,,444927.0,True,0x8990D7555Fee1e164b8CB09A6fA51Aa616f32618,True,False,0.033797320504582,0.175,2.0,True,0.4125,0.0444302495502563
5033368,,,,,274584.0,True,0x7f52ADd1899886153A53B2b7A84A49417aCD4BEC,False,True,0.007551191137172628,0.15,2.0,True,0.425,0.11228437947124305
5033701,,,,,422804.0,True,0x02523F5c440f09ae533600CfC0999ce30df2a523,True,False,0.08210970586754103,0.15,2.0,True,0.425,0.17299202220103221
5033908,,,,,432072.0,True,0x8990D7555Fee1e164b8CB09A6fA51Aa616f32618,True,False,0.054472721374260145,0.175,2.0,True,0.4125,0.06415584389118895
5040376,,,,,421978.0,True,0x8dEA24025cF3080FE46af8511c1Be871302B2d63,False,True,0.02170846341451929,0.15,2.0,True,0.425,0.06731261291654005
5040529,,,,,393687.0,True,0x2B6272Da4872C8727C3577dEB0e77bADf6a61636,False,True,0.015543732189000445,0.15,2.0,True,0.425,0.20232947052618683
5040768,,,,,393478.0,True,0x1De3626d6fc2d7c14AF8020B5E8A0c3371D9195D,False,False,0.09312629899081805,0.15,2.0,True,0.425,0.10540639451915657
5041157,,,,,391290.0,True,0x83ffB38218B4098904F2399ABf2d281CD4A13998,False,True,0.02673112298367118,0.15,2.0,True,0.425,0.07844302118640324
5045076,,,,,268562.0,True,0xAB8Dc8012A783a96a77d7f6FAff453Ba99838fCC,False,True,0.006915996732589453,0.18523716377979463,2.0,True,0.4073814181101027,0.08969441674826617
5045447,,,,,406091.0,True,0xb5D695193FC25e9b2E3588F9A45C77aE09D88DEF,False,True,0.015134096988213884,0.15,2.0,True,0.425,0.04390664619037353
5045672,,,,,437630.0,True,0x8dEA24025cF3080FE46af8511c1Be871302B2d63,False,True,0.010607585051047062,0.15,2.0,True,0.425,0.05525901513336484
5046535,,,,,284232.0,True,0x1c503735D9888F1a8E76b9012163cc759cB7Ac46,False,True,0.09809810913415468,0.15,2.0,True,0.425,0.04260664413909756
5046965,,,,,429392.0,True,0x9755E3b21649495D7490a8573D0eD7659e544dA1,True,False,0.026567801970821772,0.15,2.0,True,0.425,0.04110419207227733
5047329,,,,,457793.0,True,0xa9AF89Cb6cb8f665793800D4782E61dCc01F2fEa,True,False,0.11310668095270195,0.15,2.0,True,0.425,0.11264707133667193
5047416,,,,,269537.0,True,0x7f52ADd1899886153A53B2b7A84A49417aCD4BEC,False,True,0.01355051521542819,0.15,2.0,True,0.425,0.04522308766421443
5047962,,,,,437644.0,True,0x8dEA24025cF3080FE46af8511c1Be871302B2d63,False,True,0.021881979414365368,0.15,2.0,True,0.425,0.11713846103963683
5048952,,,,,260575.0,True,0x4C685d099b6E181A2774D210Ce690D98EEBF114c,False,True,0.029494013723380688,0.16416750332003177,2.0,True,0.4179162483399841,0.08290894109203592
5049764,,,,,260599.0,True,0x9Fe9FfbfD57ab78D4d01973482258bfC4BB70bE3,True,True,0.00892558238894967,0.1601122328793886,2.0,True,0.4199438835603057,0.22044997053098822
5050253,,,,,296817.0,True,0x1De3626d6fc2d7c14AF8020B5E8A0c3371D9195D,False,False,0.02210141699349889,0.15,2.0,True,0.425,0.04355515252762942
5051042,,,,,441658.0,True,0xB366dd28bE7449450b8443a384227b87A8DdB0da,False,True,0.01196197030798319,0.15,2.0,True,0.425,0.1782589099398186
5051522,,,,,298903.0,True,0x1De3626d6fc2d7c14AF8020B5E8A0c3371D9195D,False,False,0.014267012593453936,0.15,2.0,True,0.425,0.06807544946112819
5051567,,,,,266624.0,True,0xCD962abeF0Db1266a0E759663b70EC76a791E303,False,True,0.001475179459569182,0.15,2.0,True,0.425,0.07643997842421989
5052098,,,,,428050.0,True,0x1a94ecaDB050Ef1381a40a6a004bf658EEC559D7,True,False,0.010303808856110938,0.15,2.0,True,0.425,0.06407381858298532
5052637,,,,,425522.0,True,0x8990D7555Fee1e164b8CB09A6fA51Aa616f32618,True,False,0.030651046193873023,0.175,2.0,True,0.4125,0.12542678756500272
5052704,,,,,425522.0,True,0x8990D7555Fee1e164b8CB09A6fA51Aa616f32618,True,True,0.004657636923873498,0.175,2.0,True,0.4125,0.07265085709181915
5053263,,,,,406205.0,True,0x01454230a4a4b1188fB38e502829096218643978,True,False,0.00897781126013318,0.15,2.0,True,0.425,0.052107559892032494
5053980,,,,,260575.0,True,0x4C685d099b6E181A2774D210Ce690D98EEBF114c,False,True,0.01941129692433566,0.16416750332003177,2.0,True,0.4179162483399841,0.04864268423126481
5054076,,,,,435810.0,True,0x0135D9c6569f1f26376F7DA2d56586c9C7282474,True,True,0.026447963395608516,0.15,2.0,True,0.425,0.06192849845611864
5054533,,,,,272665.0,True,0x7f52ADd1899886153A53B2b7A84A49417aCD4BEC,False,True,0.001777495517861253,0.15,2.0,True,0.425,0.08642566402948218
5054726,,,,,367635.0,True,0xCC1fC2Fcf6B3B45F76a69E82CCeDb75a2BbD727C,False,False,0.0310041769898781,0.15,2.0,True,0.425,0.042133517537044925
5055002,,,,,440358.0,True,0xE0878Ff2a29a0460C6d66C35F4215E7e5aD49388,True,True,0.037545657982099245,0.15,2.0,True,0.425,0.42109718577744826
5055860,,,,,402411.0,True,0x3c08D0F72639e4C98b2F0e22d90114ED98baa20A,True,True,0.006498998848733578,0.225,2.0,True,0.3875,0.258553084503856
5055888,,,,,282599.0,True,0xEA19342eaCC5001722C7864B1a4C50BBb8F94df0,False,False,0.09027006698855103,0.19858799845662872,2.0,True,0.4007060007716856,0.14754345831985333
5056124,,,,,256322.0,True,0x0DD7397E821a042621DA96f6F546FFFB7eC4c18C,False,True,0.5815764889099455,0.155571388137965,2.0,True,0.4222143059310175,0.19310111913483624
5057248,,,,,320536.0,True,0xd20e9C66264Ae040e89C90af0C74bED97fD0BC65,False,True,0.08173161462626857,0.15,2.0,True,0.425,0.08652843987610012
5057277,,,,,449831.0,True,0xBe9Debf0F6ECCbE43F1F74C1c26F7D7e4c9206f7,False,True,0.014491822055194368,0.15,2.0,True,0.425,0.039733279200933704
5057461,,,,,283568.0,True,0x26D4ef83924f56629e20DE63cd0848C7CDACCF91,False,True,0.003514602768997675,0.15,2.0,True,0.425,0.06467353313014942
5058028,,,,,302975.0,True,0xd8e89e5e767C0F789ff76f5c64Dd472e1a04FBa9,False,True,0.04308478844315819,0.15,2.0,True,0.425,0.14023599524789435
5058380,,,,,347144.0,True,0x6ed46E3c84fbed89A1A423754A1116089Ab16Ff0,False,True,0.008702841829577743,0.15,2.0,True,0.425,0.053584511581035964
5059452,,,,,272937.0,True,0x4C685d099b6E181A2774D210Ce690D98EEBF114c,False,True,0.021837892136966193,0.16416750332003177,2.0,True,0.4179162483399841,0.0380715625544152
5059594,,,,,297050.0,True,0x1De3626d6fc2d7c14AF8020B5E8A0c3371D9195D,False,False,0.032706046873280194,0.15,2.0,True,0.425,0.3421536542718127
5092844,,,,,273849.0,True,0x9Fe9FfbfD57ab78D4d01973482258bfC4BB70bE3,True,True,0.06780006301057731,0.1601122328793886,2.0,True,0.4199438835603057,1.9116957484805965
5093686,,,,,438975.0,True,0xdCc67F9197b797140654Dd46E84E1b03D956927b,True,False,0.06928014363401166,0.15,2.0,True,0.425,0.16968580156583124
5150629,,,,,358371.0,True,0xC36bF13B69BCaEED8Bc73Ac7Cd28fd2Fb084f256,False,True,0.016906113007403425,0.1580861600152301,2.0,True,0.42095691999238494,0.05545561613247322
5152163,,,,,369334.0,True,0x3EC1093cC0D6C68037113F4d5555216b29e7c7DC,True,True,0.01588486183836385,0.15,2.0,True,0.425,0.05349390758145368
5152992,,,,,302353.0,True,0x6CE82a2FEB8baB345D14f7a955d2daaE4fF9d83F,True,True,0.00510488120830546,0.19421877595460377,2.0,True,0.4028906120226981,0.04692927501470047
5331210,,,,,257585.0,True,0xC6080FC2cDb2C25CDa6bD72985780dE26C5e6203,True,True,0.008130750817275118,0.15,2.0,True,0.425,0.12028469456513316
5536048,,,,,497971.0,True,0x02523F5c440f09ae533600CfC0999ce30df2a523,True,False,0.01681498795639124,0.15,2.0,True,0.425,0.038494092296307625
5538661,,,,,450780.0,True,0x39cB89A82B401FA4941F304A3cdBdc1C51C77761,True,False,0.04216909310340429,0.15,2.0,True,0.425,0.2699180695932383
5557491,,,,,488716.0,True,0x518fb1E307BD33C8cDd191d96009cFbeb3165Faa,True,True,0.010098449358522155,0.12664093570702462,2.0,True,0.4366795321464877,0.0750119392530932
5924612,,,,,269455.0,True,0x5280B7aD2aFF8872C4110A0EA2E919c616F55D19,True,True,0.014324975942255536,0.15714285714285714,2.0,True,0.42142857142857143,0.07136361082175366
5992717,,,,,397931.0,True,0x0ccdDA6523B8BCAE8B3Ab407623EE073495C5ee0,True,True,0.015473888978580104,0.15,2.0,True,0.425,0.19650957218294346
5992801,,,,,442544.0,True,0x53829Cc7E582F5D9945d1bfC0e2Ed8B271202592,True,True,0.042969043532857826,0.15685785096363083,2.0,True,0.4215710745181846,0.12516364166158286
5992963,,,,,545647.0,True,0xB81E87018Ec50d17116310c87b36622807581fa6,False,True,0.03097022464455183,0.15,2.0,True,0.425,0.17251490717951476
5995194,,,,,261383.0,True,0x5111817277151611310ccd2aa2873ff0081F316f,True,True,0.03245260129138814,0.12000000023798399,2.0,True,0.439999999881008,0.04536297848847585
5996922,,,,,525922.0,True,0xB81E87018Ec50d17116310c87b36622807581fa6,False,True,0.02336436508190171,0.15,2.0,True,0.425,0.052728358581760594
6000433,,,,,472721.0,True,0x4680B01D48f107928Dc75C3Ae5C8296D8cB0b5f7,True,False,0.025949523883316023,0.15,2.0,True,0.425,0.41284166185607557
6000799,,,,,544599.0,True,0x6BBbA538C14D36eE92dd3941Afe52736c5cFb842,False,True,0.03429842327460535,0.15,4.0,True,0.6375,0.07275135384065722
6000936,,,,,547887.0,True,0x6BBbA538C14D36eE92dd3941Afe52736c5cFb842,False,True,0.016275555122801464,0.15,4.0,True,0.6375,0.045664145734623796
6002767,,,,,545629.0,True,0xB81E87018Ec50d17116310c87b36622807581fa6,False,True,0.018912495806808156,0.15,4.0,True,0.6375,0.10039152857618691
6004475,,,,,525945.0,True,0x6BBbA538C14D36eE92dd3941Afe52736c5cFb842,False,True,0.010544014595212993,0.15,4.0,True,0.6375,0.09541473704030894
6005328,,,,,547896.0,True,0x6BBbA538C14D36eE92dd3941Afe52736c5cFb842,False,True,0.08231047029530796,0.15,4.0,True,0.6375,0.07461832518643965
6006840,,,,,544590.0,True,0x6BBbA538C14D36eE92dd3941Afe52736c5cFb842,False,True,0.021205692946783056,0.15,4.0,True,0.6375,0.062146269517570144
6007165,,,,,269455.0,True,0x5280B7aD2aFF8872C4110A0EA2E919c616F55D19,True,True,0.014437599012169176,0.15714285714285714,3.0,True,0.561904761904762,0.05709161436505092
6010727,,,,,498032.0,True,0xDBef206584d2b84b625c7d78067aE977f8EE1A29,True,True,0.029164626525213937,0.15,2.0,True,0.425,0.05698205522950762
6013657,,,,,329944.0,True,0x16A3a243D1910Ba2686294054F057A954BA0E705,False,True,0.03946133249104315,0.2,2.0,True,0.4,0.09122797512539609
6016637,,,,,527222.0,True,0x6BBbA538C14D36eE92dd3941Afe52736c5cFb842,False,True,0.02327664179781654,0.15,2.0,True,0.425,0.04005190507107722
6017368,,,,,378944.0,True,0x5280B7aD2aFF8872C4110A0EA2E919c616F55D19,True,True,0.043972896734476456,0.15714285714285714,2.0,True,0.42142857142857143,0.15922437150181656
6017446,,,,,527266.0,True,0x6BBbA538C14D36eE92dd3941Afe52736c5cFb842,False,True,0.010669923756852648,0.15,2.0,True,0.425,0.07367566533272632
6018025,,,,,441314.0,True,0x959D4caDcBBdE02bCCB0211Cf9a4551c8336dc7d,True,True,0.007186694274172129,0.15,2.0,True,0.425,0.09691492296953054
6018674,,,,,527201.0,True,0xB81E87018Ec50d17116310c87b36622807581fa6,False,True,0.039926284976669155,0.15,2.0,True,0.425,0.1862364671888156
6018885,,,,,260942.0,True,0x45dd7696CAE748f82669c002721E46d41f94E2c4,True,True,0.05169857520458366,0.05,2.0,True,0.475,0.12874143853706052
6019733,,,,,545632.0,True,0xB81E87018Ec50d17116310c87b36622807581fa6,False,True,0.05137402609826379,0.15,2.0,True,0.425,0.17397371004646212
